facility,id,lat,lon,year,month,cases,population,time
Chisepo_Health_Centre,pw9cneMv5fA,-13.63492,33.47017,2025,1,3002.0,28.956268310546875,2025-01
Chisi_Health_Centre,rtb22Ro8Gez,-15.32562,35.60506,2025,1,1392.0,13.99096965789795,2025-01
Chisimuka_Health_Centre,AMklHWTt6sX,-10.76924,33.55751,2025,1,686.0,5.4286041259765625,2025-01
Chisitu_Health_Centre,PWPeexIOdmn,-16.00103,35.4326,2025,1,365.0,46.06422424316406,2025-01
Chisoka_Health_Centre,T3MNLfsBtT4,-15.94181,35.20879,2025,1,438.0,16.794231414794922,2025-01
Chitala_Health_Centre,d92FGpiO9lP,-13.67161,34.27174,2025,1,164.0,33.522281646728516,2025-01
Chitedze_Health_Centre,Xc3odqjv7h0,-13.97684,33.64529,2025,1,1548.0,17.008939743041992,2025-01
Chitekesa_Health_Centre,u4mqH5iShLL,-15.55218,35.57244,2025,1,312.0,20.807018280029297,2025-01
Chitera_Health_Centre,mxsHHN4zZft,-15.60646,35.12306,2025,1,1209.0,18.468368530273438,2025-01
Chitheka_Health_Centre,Sf6KvkaT3UQ,-11.70191,33.95147,2025,1,662.0,6.620019912719727,2025-01
Chithumba_Health_Centre,KkApQFpVIaQ,-15.80369,34.47629,2025,1,740.0,12.967487335205078,2025-01
Chitimba_Health_Centre,rdHVTY312fc,-10.59808,34.17026,2025,1,708.0,19.021150588989258,2025-01
Chitipa_District_Hospital,qzGX4XdWufs,-9.70159,33.2659,2025,1,2291.0,46.937583923339844,2025-01
Chitowo_Health_Centre,b3OduOhZKuu,-14.22584,34.03961,2025,1,2298.0,8.55089282989502,2025-01
Chiumbangame_Dispensary,ybAxvKHkzhK,-14.31739,35.55721,2025,1,295.0,14.353053092956543,2025-01
Chiunda_Dispensary,y87TEluIKWT,-14.77744,35.43901,2025,1,380.0,33.11558532714844,2025-01
Chiunjiza_Health_Centre,HTfgCPyMHUx,-14.24322,33.4013,2025,1,3340.0,1.0,2025-01
Chiwamba_Health_Centre,RDvTBoMA8m4,-13.8571,33.92926,2025,1,4301.0,22.4219970703125,2025-01
Chiwe_Health_Centre,vCGIve5RtyE,-13.90738,33.39862,2025,1,341.0,23.064884185791016,2025-01
Chiwoza_Health_Centre,ivq1pAeZs5o,-14.08602,33.686271,2025,1,2664.0,1.0,2025-01
Chiyendausiku_Health_Centre,HrQHweMv09u,-15.01855,35.07653,2025,1,428.0,9.755135536193848,2025-01
Chizolowondo_Health_Centre,e1HOrMxNhpf,-13.46336,33.51328,2025,1,984.0,6.730494022369385,2025-01
Chizumulo_St_Marys_Health_Centre,XXjX57Xslam,-12.02934,34.62425,2025,1,61.0,16.801456451416016,2025-01
